file,n_original,n_generated,split_type,model_name,embedding_dim,batch_size,hnsw_M,ef_construction,ef_search,encoding_time_s,search_time_s,total_time_s,encode_mem_delta_mb,search_mem_delta_mb,bigs_right,bigs_right_std,bigs_right_median,bigs_left,bigs_left_std,bigs_left_median
../textualization_neighbors/japan/langchain/gpt-4o-mini,395,198,sentences,sentence-transformers/all-mpnet-base-v2,768,64,16,200,128,0.389,0.035,0.424,318.1,3.0,0.2748,0.0923,0.2711,0.4107,0.1619,0.3998
../textualization_neighbors/japan/langchain/gpt-5,395,409,sentences,sentence-transformers/all-mpnet-base-v2,768,64,16,200,128,0.454,0.06,0.514,344.3,5.0,0.2974,0.1082,0.2922,0.4128,0.1702,0.414
../textualization_neighbors/japan/langchain/gpt-4-1,395,548,sentences,sentence-transformers/all-mpnet-base-v2,768,64,16,200,128,0.528,0.07,0.597,330.3,3.0,0.2674,0.0918,0.2613,0.3354,0.1453,0.3121
../textualization_neighbors/japan/langchain/gpt-5-nano,395,212,sentences,sentence-transformers/all-mpnet-base-v2,768,64,16,200,128,0.386,0.038,0.424,325.0,4.0,0.3184,0.1045,0.3082,0.4513,0.1546,0.4488
../textualization_neighbors/japan/original/gpt-4o-mini_full,395,217,sentences,sentence-transformers/all-mpnet-base-v2,768,64,16,200,128,0.402,0.038,0.439,344.2,4.0,0.3426,0.0874,0.3367,0.4865,0.1476,0.4827
../textualization_neighbors/japan/original/gpt-5_full,395,198,sentences,sentence-transformers/all-mpnet-base-v2,768,64,16,200,128,0.38,0.035,0.415,315.7,3.0,0.3173,0.1063,0.3179,0.4821,0.1526,0.4785
../textualization_neighbors/japan/original/gpt-4-1_full,395,504,sentences,sentence-transformers/all-mpnet-base-v2,768,64,16,200,128,0.541,0.068,0.609,360.5,4.0,0.3253,0.0864,0.3276,0.4231,0.1464,0.4159
../textualization_neighbors/japan/original/gpt-5-nano_full,395,128,sentences,sentence-transformers/all-mpnet-base-v2,768,64,16,200,128,0.36,0.029,0.389,317.5,2.0,0.3308,0.0898,0.3431,0.4942,0.1417,0.4888
