file,n_original,n_generated,split_type,model_name,embedding_dim,batch_size,hnsw_M,ef_construction,ef_search,encoding_time_s,search_time_s,total_time_s,encode_mem_delta_mb,search_mem_delta_mb,bigs_right,bigs_right_std,bigs_right_median,bigs_left,bigs_left_std,bigs_left_median
textualization/japan/original/gpt-4o-mini_full,395,217,sentences,sentence-transformers/all-mpnet-base-v2,768,64,16,200,128,0.359,0.038,0.397,324.0,4.0,0.3627,0.1038,0.3545,0.4802,0.1494,0.477
textualization/japan/original/gpt-4o-mini_full,395,217,sentences,paraphrase-multilingual-mpnet-base-v2,768,64,16,200,128,0.411,0.04,0.45,432.8,6.0,0.331,0.0982,0.3328,0.4611,0.1503,0.4605
textualization/japan/original/gpt-4o-mini_full,395,217,sentences,sentence-transformers/all-MiniLM-L12-v2,384,64,16,200,128,0.311,0.029,0.341,435.0,3.0,0.3723,0.1087,0.3702,0.5075,0.1449,0.5134
textualization/japan/original/gpt-4o-mini_full,1052,217,chunks,sentence-transformers/all-mpnet-base-v2,768,64,16,200,128,0.413,0.12,0.533,349.1,6.2,0.341,0.0969,0.3405,0.5375,0.1533,0.5419
textualization/japan/original/gpt-4o-mini_full,1052,217,chunks,paraphrase-multilingual-mpnet-base-v2,768,64,16,200,128,0.477,0.118,0.595,431.7,6.0,0.2879,0.0922,0.3076,0.5028,0.1601,0.4953
textualization/japan/original/gpt-4o-mini_full,1052,217,chunks,sentence-transformers/all-MiniLM-L12-v2,384,64,16,200,128,0.353,0.081,0.434,423.6,2.0,0.3387,0.0948,0.3412,0.5564,0.153,0.5532
textualization/japan/original/gpt-5_full,395,198,sentences,sentence-transformers/all-mpnet-base-v2,768,64,16,200,128,0.355,0.036,0.39,315.5,3.0,0.3351,0.1127,0.3315,0.4811,0.1532,0.4716
textualization/japan/original/gpt-5_full,395,198,sentences,paraphrase-multilingual-mpnet-base-v2,768,64,16,200,128,0.409,0.037,0.445,419.0,3.0,0.3074,0.1071,0.3062,0.4713,0.1575,0.4736
textualization/japan/original/gpt-5_full,395,198,sentences,sentence-transformers/all-MiniLM-L12-v2,384,64,16,200,128,0.308,0.027,0.335,432.5,5.1,0.3489,0.1002,0.3484,0.5079,0.153,0.4977
textualization/japan/original/gpt-5_full,1052,198,chunks,sentence-transformers/all-mpnet-base-v2,768,64,16,200,128,0.41,0.109,0.519,331.1,5.6,0.3101,0.1005,0.3075,0.5314,0.1573,0.5325
textualization/japan/original/gpt-5_full,1052,198,chunks,paraphrase-multilingual-mpnet-base-v2,768,64,16,200,128,0.482,0.113,0.595,437.3,6.6,0.2655,0.0931,0.2594,0.513,0.1693,0.5085
textualization/japan/original/gpt-5_full,1052,198,chunks,sentence-transformers/all-MiniLM-L12-v2,384,64,16,200,128,0.353,0.085,0.438,426.8,3.0,0.3133,0.0921,0.3138,0.5543,0.1632,0.55
textualization/japan/original/gpt-4-1_full,395,504,sentences,sentence-transformers/all-mpnet-base-v2,768,64,16,200,128,0.408,0.07,0.478,321.7,4.0,0.3474,0.1002,0.3447,0.4262,0.1447,0.4252
textualization/japan/original/gpt-4-1_full,395,504,sentences,paraphrase-multilingual-mpnet-base-v2,768,64,16,200,128,0.468,0.071,0.539,419.8,4.0,0.3158,0.0979,0.3168,0.4125,0.1502,0.4207
textualization/japan/original/gpt-4-1_full,395,504,sentences,sentence-transformers/all-MiniLM-L12-v2,384,64,16,200,128,0.342,0.052,0.393,436.0,4.0,0.3615,0.1064,0.3605,0.4487,0.1488,0.459
textualization/japan/original/gpt-4-1_full,1052,504,chunks,sentence-transformers/all-mpnet-base-v2,768,64,16,200,128,0.461,0.163,0.624,324.5,6.0,0.3221,0.0939,0.3192,0.4794,0.1508,0.474
textualization/japan/original/gpt-4-1_full,1052,504,chunks,paraphrase-multilingual-mpnet-base-v2,768,64,16,200,128,0.542,0.162,0.704,432.9,6.0,0.2757,0.0903,0.2812,0.4573,0.164,0.4535
textualization/japan/original/gpt-4-1_full,1052,504,chunks,sentence-transformers/all-MiniLM-L12-v2,384,64,16,200,128,0.379,0.117,0.497,422.9,6.6,0.3297,0.0933,0.3316,0.5027,0.1606,0.4993
textualization/japan/original/gpt-5-nano_full,395,128,sentences,sentence-transformers/all-mpnet-base-v2,768,64,16,200,128,0.332,0.027,0.358,317.4,3.0,0.3591,0.1224,0.3594,0.4982,0.1443,0.4979
textualization/japan/original/gpt-5-nano_full,395,128,sentences,paraphrase-multilingual-mpnet-base-v2,768,64,16,200,128,0.388,0.028,0.416,419.7,5.0,0.3182,0.1042,0.3277,0.4852,0.1481,0.4821
textualization/japan/original/gpt-5-nano_full,395,128,sentences,sentence-transformers/all-MiniLM-L12-v2,384,64,16,200,128,0.297,0.023,0.319,435.1,5.1,0.367,0.1158,0.3863,0.5199,0.1422,0.5182
textualization/japan/original/gpt-5-nano_full,1052,128,chunks,sentence-transformers/all-mpnet-base-v2,768,64,16,200,128,0.392,0.104,0.496,340.9,5.0,0.3375,0.1067,0.3395,0.548,0.1496,0.5484
textualization/japan/original/gpt-5-nano_full,1052,128,chunks,paraphrase-multilingual-mpnet-base-v2,768,64,16,200,128,0.458,0.092,0.55,431.6,5.0,0.2851,0.0946,0.2955,0.5251,0.1614,0.5201
textualization/japan/original/gpt-5-nano_full,1052,128,chunks,sentence-transformers/all-MiniLM-L12-v2,384,64,16,200,128,0.338,0.07,0.409,424.6,3.0,0.3331,0.1048,0.3486,0.5677,0.15,0.5638
