file,n_original,n_generated,split_type,model_name,embedding_dim,batch_size,hnsw_M,ef_construction,ef_search,encoding_time_s,search_time_s,total_time_s,encode_mem_delta_mb,search_mem_delta_mb,bigs_right,bigs_right_std,bigs_right_median,bigs_left,bigs_left_std,bigs_left_median
textualization/croatia/original/gpt-4o-mini_full,560,398,sentences,sentence-transformers/all-mpnet-base-v2,768,64,16,200,128,0.428,0.076,0.505,321.2,4.0,0.3527,0.1175,0.3522,0.4604,0.1673,0.4423
textualization/croatia/original/gpt-4o-mini_full,560,398,sentences,paraphrase-multilingual-mpnet-base-v2,768,64,16,200,128,0.5,0.078,0.578,420.7,4.0,0.3095,0.1053,0.3026,0.4328,0.168,0.4103
textualization/croatia/original/gpt-4o-mini_full,560,398,sentences,sentence-transformers/all-MiniLM-L12-v2,384,64,16,200,128,0.358,0.056,0.413,436.6,3.0,0.364,0.1231,0.3609,0.4783,0.1695,0.4573
textualization/croatia/original/gpt-4o-mini_full,1454,398,chunks,sentence-transformers/all-mpnet-base-v2,768,64,16,200,128,0.541,0.193,0.734,316.9,7.0,0.3192,0.1007,0.3226,0.4964,0.1653,0.4952
textualization/croatia/original/gpt-4o-mini_full,1454,398,chunks,paraphrase-multilingual-mpnet-base-v2,768,64,16,200,128,0.615,0.203,0.818,426.6,6.9,0.2755,0.0973,0.2754,0.4671,0.1673,0.4642
textualization/croatia/original/gpt-4o-mini_full,1454,398,chunks,sentence-transformers/all-MiniLM-L12-v2,384,64,16,200,128,0.431,0.139,0.57,437.2,4.0,0.3164,0.1044,0.3186,0.5124,0.171,0.5171
textualization/croatia/original/gpt-5_full,560,413,sentences,sentence-transformers/all-mpnet-base-v2,768,64,16,200,128,0.435,0.078,0.514,345.3,4.0,0.3199,0.12,0.3252,0.4583,0.1756,0.4357
textualization/croatia/original/gpt-5_full,560,413,sentences,paraphrase-multilingual-mpnet-base-v2,768,64,16,200,128,0.499,0.076,0.575,430.2,4.0,0.2753,0.1055,0.2721,0.435,0.177,0.4147
textualization/croatia/original/gpt-5_full,560,413,sentences,sentence-transformers/all-MiniLM-L12-v2,384,64,16,200,128,0.349,0.059,0.407,424.6,2.0,0.3304,0.1206,0.3293,0.4836,0.1826,0.4607
textualization/croatia/original/gpt-5_full,1454,413,chunks,sentence-transformers/all-mpnet-base-v2,768,64,16,200,128,0.538,0.205,0.743,332.4,7.3,0.2951,0.0882,0.2972,0.4925,0.171,0.4823
textualization/croatia/original/gpt-5_full,1454,413,chunks,paraphrase-multilingual-mpnet-base-v2,768,64,16,200,128,0.626,0.2,0.826,433.6,9.3,0.2481,0.0867,0.2398,0.4761,0.1756,0.4718
textualization/croatia/original/gpt-5_full,1454,413,chunks,sentence-transformers/all-MiniLM-L12-v2,384,64,16,200,128,0.429,0.149,0.577,429.0,5.0,0.3029,0.1005,0.3005,0.5158,0.1783,0.5087
textualization/croatia/original/gpt-4-1_full,560,803,sentences,sentence-transformers/all-mpnet-base-v2,768,64,16,200,128,0.528,0.132,0.659,364.5,5.0,0.3392,0.1149,0.3385,0.4135,0.1644,0.3913
textualization/croatia/original/gpt-4-1_full,560,803,sentences,paraphrase-multilingual-mpnet-base-v2,768,64,16,200,128,0.562,0.129,0.691,417.2,5.0,0.2987,0.1043,0.2983,0.391,0.1673,0.3694
textualization/croatia/original/gpt-4-1_full,560,803,sentences,sentence-transformers/all-MiniLM-L12-v2,384,64,16,200,128,0.395,0.095,0.491,423.7,4.0,0.3475,0.1137,0.3474,0.4355,0.1703,0.4113
textualization/croatia/original/gpt-4-1_full,1454,803,chunks,sentence-transformers/all-mpnet-base-v2,768,64,16,200,128,0.611,0.269,0.88,334.5,7.0,0.3083,0.0955,0.3072,0.4556,0.1632,0.4438
textualization/croatia/original/gpt-4-1_full,1454,803,chunks,paraphrase-multilingual-mpnet-base-v2,768,64,16,200,128,0.684,0.268,0.952,422.0,7.4,0.2685,0.0905,0.2689,0.4319,0.1664,0.4234
textualization/croatia/original/gpt-4-1_full,1454,803,chunks,sentence-transformers/all-MiniLM-L12-v2,384,64,16,200,128,0.477,0.196,0.672,427.9,6.0,0.3153,0.0939,0.315,0.4746,0.1686,0.4589
textualization/croatia/original/gpt-5-nano_full,560,331,sentences,sentence-transformers/all-mpnet-base-v2,768,64,16,200,128,0.415,0.071,0.486,313.7,4.0,0.3187,0.1115,0.3091,0.4444,0.1691,0.4195
textualization/croatia/original/gpt-5-nano_full,560,331,sentences,paraphrase-multilingual-mpnet-base-v2,768,64,16,200,128,0.48,0.067,0.546,421.7,3.0,0.2814,0.1013,0.2694,0.4204,0.1731,0.4022
textualization/croatia/original/gpt-5-nano_full,560,331,sentences,sentence-transformers/all-MiniLM-L12-v2,384,64,16,200,128,0.346,0.049,0.396,431.7,3.0,0.3342,0.1107,0.3284,0.4721,0.1738,0.4479
textualization/croatia/original/gpt-5-nano_full,1454,331,chunks,sentence-transformers/all-mpnet-base-v2,768,64,16,200,128,0.548,0.195,0.743,364.4,6.1,0.2918,0.088,0.2879,0.4823,0.1597,0.4773
textualization/croatia/original/gpt-5-nano_full,1454,331,chunks,paraphrase-multilingual-mpnet-base-v2,768,64,16,200,128,0.601,0.193,0.794,423.4,6.5,0.2545,0.089,0.2484,0.4651,0.1702,0.4585
textualization/croatia/original/gpt-5-nano_full,1454,331,chunks,sentence-transformers/all-MiniLM-L12-v2,384,64,16,200,128,0.426,0.14,0.566,437.1,5.0,0.3037,0.0925,0.3021,0.5114,0.1682,0.5187
