file,n_original,n_generated,split_type,model_name,embedding_dim,batch_size,hnsw_M,ef_construction,ef_search,encoding_time_s,search_time_s,total_time_s,encode_mem_delta_mb,search_mem_delta_mb,bigs_right,bigs_right_std,bigs_right_median,bigs_left,bigs_left_std,bigs_left_median
textualization_neighbors/japan/langchain/gpt-5-nano,1052,212,chunks,sentence-transformers/all-MiniLM-L12-v2,384,64,16,200,128,0.37,0.088,0.458,422.9,3.0,0.3388,0.0823,0.3441,0.5415,0.1447,0.5471
textualization_neighbors/japan/original/gpt-4o-mini_full,395,217,sentences,sentence-transformers/all-mpnet-base-v2,768,64,16,200,128,0.404,0.038,0.442,342.4,4.0,0.3426,0.0874,0.3367,0.4865,0.1476,0.4827
textualization_neighbors/japan/original/gpt-4o-mini_full,395,217,sentences,paraphrase-multilingual-mpnet-base-v2,768,64,16,200,128,0.452,0.037,0.489,432.5,4.0,0.322,0.0829,0.3262,0.4754,0.1467,0.4758
textualization_neighbors/japan/original/gpt-4o-mini_full,395,217,sentences,sentence-transformers/all-MiniLM-L12-v2,384,64,16,200,128,0.329,0.029,0.357,435.3,4.4,0.3603,0.087,0.3653,0.5166,0.142,0.5078
textualization_neighbors/japan/original/gpt-4o-mini_full,1052,217,chunks,sentence-transformers/all-mpnet-base-v2,768,64,16,200,128,0.48,0.11,0.59,372.3,6.0,0.3444,0.0815,0.3444,0.5547,0.1458,0.5616
textualization_neighbors/japan/original/gpt-4o-mini_full,1052,217,chunks,paraphrase-multilingual-mpnet-base-v2,768,64,16,200,128,0.52,0.116,0.637,431.6,6.0,0.2977,0.0792,0.299,0.5176,0.1526,0.511
textualization_neighbors/japan/original/gpt-4o-mini_full,1052,217,chunks,sentence-transformers/all-MiniLM-L12-v2,384,64,16,200,128,0.372,0.083,0.456,423.7,3.0,0.3612,0.0807,0.3665,0.581,0.1438,0.5825
textualization_neighbors/japan/original/gpt-5_full,395,198,sentences,sentence-transformers/all-mpnet-base-v2,768,64,16,200,128,0.403,0.035,0.438,357.4,2.0,0.3173,0.1063,0.3179,0.4821,0.1526,0.4785
textualization_neighbors/japan/original/gpt-5_full,395,198,sentences,paraphrase-multilingual-mpnet-base-v2,768,64,16,200,128,0.441,0.037,0.478,420.3,3.0,0.2968,0.1037,0.3002,0.4719,0.1518,0.4663
textualization_neighbors/japan/original/gpt-5_full,395,198,sentences,sentence-transformers/all-MiniLM-L12-v2,384,64,16,200,128,0.322,0.028,0.35,432.3,5.1,0.3371,0.1024,0.3382,0.5108,0.1472,0.5022
textualization_neighbors/japan/original/gpt-5_full,1052,198,chunks,sentence-transformers/all-mpnet-base-v2,768,64,16,200,128,0.468,0.107,0.574,373.6,6.0,0.3194,0.0949,0.3264,0.557,0.1515,0.5577
textualization_neighbors/japan/original/gpt-5_full,1052,198,chunks,paraphrase-multilingual-mpnet-base-v2,768,64,16,200,128,0.521,0.112,0.634,437.1,5.5,0.28,0.0857,0.2834,0.5181,0.1575,0.5131
textualization_neighbors/japan/original/gpt-5_full,1052,198,chunks,sentence-transformers/all-MiniLM-L12-v2,384,64,16,200,128,0.369,0.084,0.454,436.3,4.0,0.3304,0.091,0.3394,0.5751,0.1513,0.5716
textualization_neighbors/japan/original/gpt-4-1_full,395,504,sentences,sentence-transformers/all-mpnet-base-v2,768,64,16,200,128,0.524,0.068,0.592,322.4,3.0,0.3253,0.0864,0.3276,0.4231,0.1464,0.4159
textualization_neighbors/japan/original/gpt-4-1_full,395,504,sentences,paraphrase-multilingual-mpnet-base-v2,768,64,16,200,128,0.59,0.069,0.659,420.6,4.0,0.3099,0.0899,0.3162,0.4203,0.148,0.4282
textualization_neighbors/japan/original/gpt-4-1_full,395,504,sentences,sentence-transformers/all-MiniLM-L12-v2,384,64,16,200,128,0.391,0.05,0.441,436.5,3.0,0.3461,0.0937,0.3523,0.4523,0.1463,0.4571
textualization_neighbors/japan/original/gpt-4-1_full,1052,504,chunks,sentence-transformers/all-mpnet-base-v2,768,64,16,200,128,0.598,0.16,0.758,370.5,7.0,0.3273,0.075,0.3294,0.5043,0.1452,0.4984
textualization_neighbors/japan/original/gpt-4-1_full,1052,504,chunks,paraphrase-multilingual-mpnet-base-v2,768,64,16,200,128,0.665,0.155,0.82,434.6,9.2,0.2895,0.0719,0.2921,0.4714,0.1526,0.4653
textualization_neighbors/japan/original/gpt-4-1_full,1052,504,chunks,sentence-transformers/all-MiniLM-L12-v2,384,64,16,200,128,0.433,0.112,0.546,423.6,3.0,0.3482,0.0727,0.3544,0.5242,0.1455,0.5219
textualization_neighbors/japan/original/gpt-5-nano_full,395,128,sentences,sentence-transformers/all-mpnet-base-v2,768,64,16,200,128,0.358,0.029,0.387,327.5,3.0,0.3308,0.0898,0.3431,0.4942,0.1417,0.4888
textualization_neighbors/japan/original/gpt-5-nano_full,395,128,sentences,paraphrase-multilingual-mpnet-base-v2,768,64,16,200,128,0.421,0.03,0.451,418.3,4.6,0.3089,0.0898,0.3273,0.482,0.1408,0.4874
textualization_neighbors/japan/original/gpt-5-nano_full,395,128,sentences,sentence-transformers/all-MiniLM-L12-v2,384,64,16,200,128,0.306,0.023,0.329,433.8,3.0,0.3477,0.0941,0.3463,0.5241,0.137,0.5133
textualization_neighbors/japan/original/gpt-5-nano_full,1052,128,chunks,sentence-transformers/all-mpnet-base-v2,768,64,16,200,128,0.415,0.094,0.509,343.2,5.0,0.3472,0.0833,0.3462,0.5676,0.1411,0.5727
textualization_neighbors/japan/original/gpt-5-nano_full,1052,128,chunks,paraphrase-multilingual-mpnet-base-v2,768,64,16,200,128,0.491,0.097,0.588,431.1,6.0,0.3003,0.0781,0.3092,0.5256,0.1475,0.5231
textualization_neighbors/japan/original/gpt-5-nano_full,1052,128,chunks,sentence-transformers/all-MiniLM-L12-v2,384,64,16,200,128,0.349,0.077,0.426,422.9,4.6,0.3581,0.0865,0.3765,0.5868,0.1391,0.5867
