cumulative_targets_percent,cumulative_assignments_percent
11.54996544,5.50744545
11.59991250,5.53126203
11.65005314,5.55517092
11.70000019,5.57898750
11.74994725,5.60280408
11.80008789,5.62671297
11.85003494,5.65052955
11.89998200,5.67434613
11.94992905,5.69816271
12.00006969,5.72207160
12.05001675,5.74588818
12.09996380,5.76970476
12.14991085,5.79352134
12.20005150,5.81743023
12.24999855,5.84124681
12.29994560,5.86506339
12.35008625,5.88897228
12.40003330,5.91278886
12.44998035,5.93660544
12.49992740,5.96042202
12.55006805,5.98433091
12.60001510,6.00814749
12.64996215,6.03196406
12.69990920,6.05578064
12.75004985,6.07968954
12.79999690,6.10350611
12.84994395,6.12732269
12.90008460,6.15123158
12.95003165,6.17504816
12.99997870,6.19886474
13.04992576,6.22268132
13.10006640,6.24659021
13.15001345,6.27040679
13.19996051,6.29422337
13.24990756,6.31803995
13.30004820,6.34194884
13.34999526,6.36576542
13.39994231,6.38958200
13.45008295,6.41349089
13.50003001,6.43730747
13.54997706,6.46112405
13.59992411,6.48494063
13.65006476,6.50884952
13.70001181,6.53266610
13.74995886,6.55648268
13.79990591,6.58029926
13.85004656,6.60420815
13.89999361,6.62802473
13.94994066,6.65184131
14.00008131,6.67575020
14.05002836,6.69956678
14.09997541,6.72338336
14.14992247,6.74719994
14.20006311,6.77110883
14.25001016,6.79492541
14.29995722,6.81874199
14.34990427,6.84255857
14.40004491,6.86646746
14.44999197,6.89028404
14.49993902,6.91410061
14.55007966,6.93800951
14.60002672,6.96182609
14.64997377,6.98564266
14.69992082,7.00945924
14.75006147,7.03336814
14.80000852,7.05718471
14.84995557,7.08100129
14.90009622,7.10491018
14.95004327,7.12872676
14.99999032,7.15254334
15.04993737,7.17635992
15.10007802,7.20026881
15.15002507,7.22408539
15.19997212,7.24790197
15.24991917,7.27171855
15.30005982,7.29562744
15.35000687,7.31944402
15.39995392,7.34326060
15.45009457,7.36716949
15.50004162,7.39098607
15.54998867,7.41480265
15.59993573,7.43861923
15.65007637,7.46252812
15.70002342,7.48634470
15.74997048,7.51016128
15.79991753,7.53397786
15.85005817,7.55788675
15.90000523,7.58170333
15.94995228,7.60551991
16.00009292,7.62942880
16.05003998,7.65324538
16.09998703,7.67706196
16.14993408,7.70087854
16.20007473,7.72478743
16.25002178,7.74860401
16.29996883,7.77242059
16.34991588,7.79623717
16.40005653,7.82014606
16.45000358,7.84396264
16.49995063,7.86777921
16.55009128,7.89168811
16.60003833,7.91550469
16.64998538,7.93932126
16.69993244,7.96313784
16.75007308,7.98704673
16.80002013,8.01086331
16.84996719,8.03467989
16.89991424,8.05849647
16.95005488,8.08240536
17.00000194,8.10622194
17.04994899,8.13003852
17.10008963,8.15394741
17.15003669,8.17776399
17.19998374,8.20158057
17.24993079,8.22539715
17.30007144,8.24930604
17.35001849,8.27312262
17.39996554,8.29693920
17.44991259,8.32075578
17.50005324,8.34466467
17.55000029,8.36848125
17.59994734,8.39229783
17.65008799,8.41620672
17.70003504,8.44002330
17.74998209,8.46383988
17.79992914,8.48765646
17.85006979,8.51156535
17.90001684,8.53538193
17.94996389,8.55919851
17.99991095,8.58301509
18.05005159,8.60692398
18.09999864,8.63074056
18.14994570,8.65455714
18.20008634,8.67846603
18.25003339,8.70228261
18.29998045,8.72609919
18.34992750,8.74991577
18.40006814,8.77382466
18.45001520,8.79764124
18.49996225,8.82145781
18.54990930,8.84527439
18.60004995,8.86918329
18.64999700,8.89299986
18.69994405,8.91681644
