cumulative_targets_percent,cumulative_assignments_percent
11.55002816,4.22563070
11.59996246,4.24389939
11.65008448,4.26223676
11.70001877,4.28050545
11.74995307,4.29877414
11.80007509,4.31711151
11.85000939,4.33538021
11.89994368,4.35364890
11.95006570,4.37198627
12.00000000,4.39025496
12.04993430,4.40852365
12.10005632,4.42686102
12.14999061,4.44512971
12.19992491,4.46339840
12.25004693,4.48173577
12.29998123,4.50000446
12.34991552,4.51827316
12.40003754,4.53661053
12.44997184,4.55487922
12.50009386,4.57321659
12.55002816,4.59148528
12.59996246,4.60975397
12.65008448,4.62809134
12.70001877,4.64636003
12.74995307,4.66462872
12.80007509,4.68296609
12.85000939,4.70123478
12.89994368,4.71950348
12.95006570,4.73784085
13.00000000,4.75610954
13.04993430,4.77437823
13.10005632,4.79271560
13.14999061,4.81098429
13.19992491,4.82925298
13.25004693,4.84759035
13.29998123,4.86585904
13.34991552,4.88412774
13.40003754,4.90246511
13.44997184,4.92073380
13.49990614,4.93900249
13.55002816,4.95733986
13.59996246,4.97560855
13.65008448,4.99394592
13.70001877,5.01221461
13.74995307,5.03048330
13.80007509,5.04882067
13.85000939,5.06708936
13.89994368,5.08535806
13.95006570,5.10369543
14.00000000,5.12196412
14.04993430,5.14023281
14.10005632,5.15857018
14.14999061,5.17683887
14.19992491,5.19510756
14.25004693,5.21344493
14.29998123,5.23171362
14.34991552,5.24998232
14.40003754,5.26831969
14.44997184,5.28658838
14.50009386,5.30492575
14.55002816,5.32319444
14.59996246,5.34146313
14.65008448,5.35980050
14.70001877,5.37806919
14.74995307,5.39633788
14.80007509,5.41467525
14.85000939,5.43294394
14.89994368,5.45121264
14.95006570,5.46955001
15.00000000,5.48781870
15.04993430,5.50608739
15.10005632,5.52442476
15.14999061,5.54269345
15.19992491,5.56096214
15.25004693,5.57929951
15.29998123,5.59756820
15.34991552,5.61583689
15.40003754,5.63417427
15.44997184,5.65244296
15.49990614,5.67071165
15.55002816,5.68904902
15.59996246,5.70731771
15.65008448,5.72565508
15.70001877,5.74392377
15.74995307,5.76219246
15.80007509,5.78052983
15.85000939,5.79879852
15.89994368,5.81706722
15.95006570,5.83540459
16.00000000,5.85367328
16.04993430,5.87194197
16.10005632,5.89027934
16.14999061,5.90854803
16.19992491,5.92681672
16.25004693,5.94515409
16.29998123,5.96342278
16.34991552,5.98169147
16.40003754,6.00002885
16.44997184,6.01829754
16.50009386,6.03663491
16.55002816,6.05490360
16.59996246,6.07317229
16.65008448,6.09150966
16.70001877,6.10977835
16.74995307,6.12804704
16.80007509,6.14638441
16.85000939,6.16465310
16.89994368,6.18292180
16.95006570,6.20125917
17.00000000,6.21952786
17.04993430,6.23779655
17.10005632,6.25613392
17.14999061,6.27440261
17.19992491,6.29267130
17.25004693,6.31100867
17.29998123,6.32927736
17.34991552,6.34754605
17.40003754,6.36588343
17.44997184,6.38415212
17.50009386,6.40248949
17.55002816,6.42075818
17.59996246,6.43902687
17.65008448,6.45736424
17.70001877,6.47563293
17.74995307,6.49390162
17.80007509,6.51223899
17.85000939,6.53050768
17.89994368,6.54877638
17.95006570,6.56711375
18.00000000,6.58538244
18.04993430,6.60365113
18.10005632,6.62198850
18.14999061,6.64025719
18.19992491,6.65852588
18.25004693,6.67686325
18.29998123,6.69513194
18.34991552,6.71340063
18.40003754,6.73173800
18.44997184,6.75000670
18.50009386,6.76834407
18.55002816,6.78661276
18.59996246,6.80488145
18.65008448,6.82321882
18.70001877,6.84148751
18.74995307,6.85975620
18.80007509,6.87809357
18.85000939,6.89636226
18.89994368,6.91463096
