cumulative_targets_percent,cumulative_assignments_percent
11.54991627,2.24106624
11.59987059,2.25075904
11.64982492,2.26045183
11.69977925,2.27014463
11.75020933,2.27992973
11.80016366,2.28962253
11.85011799,2.29931532
11.90007231,2.30900811
11.95002664,2.31870091
11.99998097,2.32839370
12.04993530,2.33808649
12.09988962,2.34777929
12.14984395,2.35747208
12.19979828,2.36716488
12.25022836,2.37694998
12.30018269,2.38664278
12.35013702,2.39633557
12.40009135,2.40602836
12.45004567,2.41572116
12.50000000,2.42541395
12.54995433,2.43510675
12.59990865,2.44479954
12.64986298,2.45449233
12.69981731,2.46418513
12.74977164,2.47387792
12.80020172,2.48366303
12.85015605,2.49335582
12.90011038,2.50304861
12.95006470,2.51274141
13.00001903,2.52243420
13.04997336,2.53212700
13.09992769,2.54181979
13.14988201,2.55151258
13.19983634,2.56120538
13.24979067,2.57089817
13.30022075,2.58068328
13.35017508,2.59037607
13.40012941,2.60006886
13.45008373,2.60976166
13.50003806,2.61945445
13.54999239,2.62914725
13.59994672,2.63884004
13.64990104,2.64853283
13.69985537,2.65822563
13.74980970,2.66791842
13.79976403,2.67761122
13.85019411,2.68739632
13.90014844,2.69708912
13.95010276,2.70678191
14.00005709,2.71647470
14.05001142,2.72616750
14.09996575,2.73586029
14.14992007,2.74555308
14.19987440,2.75524588
14.24982873,2.76493867
14.29978306,2.77463147
14.35021314,2.78441657
14.40016747,2.79410937
14.45012179,2.80380216
14.50007612,2.81349495
14.55003045,2.82318775
14.59998478,2.83288054
14.64993910,2.84257334
14.69989343,2.85226613
14.74984776,2.86195892
14.79980209,2.87165172
14.85023217,2.88143682
14.90018650,2.89112962
14.95014082,2.90082241
15.00009515,2.91051520
15.05004948,2.92020800
15.10000381,2.92990079
15.14995813,2.93959359
15.19991246,2.94928638
15.24986679,2.95897917
15.29982112,2.96867197
15.34977544,2.97836476
15.40020553,2.98814987
15.45015985,2.99784266
15.50011418,3.00753545
15.55006851,3.01722825
15.60002284,3.02692104
15.64997716,3.03661384
15.69993149,3.04630663
15.74988582,3.05599942
15.79984015,3.06569222
15.84979447,3.07538501
15.90022456,3.08517012
15.95017888,3.09486291
16.00013321,3.10455571
16.05008754,3.11424850
16.10004187,3.12394129
16.14999619,3.13363409
16.19995052,3.14332688
16.24990485,3.15301967
16.29985918,3.16271247
16.34981350,3.17240526
16.39976783,3.18209806
16.45019791,3.19188316
16.50015224,3.20157596
16.55010657,3.21126875
16.60006090,3.22096154
16.65001522,3.23065434
16.69996955,3.24034713
16.74992388,3.25003993
16.79987821,3.25973272
16.84983253,3.26942551
16.89978686,3.27911831
16.95021694,3.28890341
17.00017127,3.29859621
17.05012560,3.30828900
17.10007993,3.31798179
17.15003425,3.32767459
17.19998858,3.33736738
17.24994291,3.34706018
17.29989724,3.35675297
17.34985156,3.36644576
17.39980589,3.37613856
17.45023597,3.38592366
17.50019030,3.39561646
17.55014463,3.40530925
17.60009896,3.41500204
17.65005328,3.42469484
17.70000761,3.43438763
17.74996194,3.44408043
17.79991627,3.45377322
17.84987059,3.46346601
17.89982492,3.47315881
17.94977925,3.48285160
18.00020933,3.49263671
18.05016366,3.50232950
18.10011799,3.51202230
18.15007231,3.52171509
18.20002664,3.53140788
18.24998097,3.54110068
18.29993530,3.55079347
18.34988962,3.56048626
18.39984395,3.57017906
18.44979828,3.57987185
18.50022836,3.58965696
18.55018269,3.59934975
18.60013702,3.60904255
18.65009135,3.61873534
18.70004567,3.62842813
18.75000000,3.63812093
18.79995433,3.64781372
18.84990865,3.65750651
18.89986298,3.66719931
18.94981731,3.67689210
18.99977164,3.68658490
19.05020172,3.69637000
19.10015605,3.70606280
19.15011038,3.71575559
19.20006470,3.72544838
19.25001903,3.73514118
19.29997336,3.74483397
19.34992769,3.75452677
19.39988201,3.76421956
19.44983634,3.77391235
19.49979067,3.78360515
19.55022075,3.79339025
19.60017508,3.80308305
19.65012941,3.81277584
19.70008373,3.82246863
19.75003806,3.83216143
19.79999239,3.84185422
19.84994672,3.85154702
19.89990104,3.86123981
19.94985537,3.87093260
19.99980970,3.88062540
20.04976403,3.89031819
20.10019411,3.90010330
20.15014844,3.90979609
20.20010276,3.91948889
20.25005709,3.92918168
20.30001142,3.93887447
20.34996575,3.94856727
20.39992007,3.95826006
20.44987440,3.96795285
20.49982873,3.97764565
20.54978306,3.98733844
20.60021314,3.99712355
20.65016747,4.00681634
20.70012179,4.01650914
20.75007612,4.02620193
20.80003045,4.03589472
20.84998478,4.04558752
20.89993910,4.05528031
20.94989343,4.06497310
20.99984776,4.07466590
21.04980209,4.08435869
21.10023217,4.09414380
21.15018650,4.10383659
21.20014082,4.11352939
21.25009515,4.12322218
21.30004948,4.13291497
21.35000381,4.14260777
21.39995813,4.15230056
21.44991246,4.16199336
21.49986679,4.17168615
21.54982112,4.18137894
21.59977544,4.19107174
21.65020553,4.20085684
21.70015985,4.21054964
21.75011418,4.22024243
21.80006851,4.22993522
21.85002284,4.23962802
21.89997716,4.24932081
21.94993149,4.25901361
21.99988582,4.26870640
22.04984015,4.27839919
22.09979447,4.28809199
22.15022456,4.29787709
22.20017888,4.30756989
22.25013321,4.31726268
22.30008754,4.32695547
22.35004187,4.33664827
22.39999619,4.34634106
22.44995052,4.35603386
22.49990485,4.36572665
22.54985918,4.37541944
22.59981350,4.38511224
22.64976783,4.39480503
22.70019791,4.40459014
22.75015224,4.41428293
22.80010657,4.42397573
22.85006090,4.43366852
22.90001522,4.44336131
22.94996955,4.45305411
22.99992388,4.46274690
23.04987821,4.47243969
23.09983253,4.48213249
23.14978686,4.49182528
23.20021694,4.50161039
23.25017127,4.51130318
23.30012560,4.52099598
23.35007993,4.53068877
23.40003425,4.54038156
23.44998858,4.55007436
23.49994291,4.55976715
23.54989724,4.56945995
23.59985156,4.57915274
23.64980589,4.58884553
23.70023597,4.59863064
23.75019030,4.60832343
23.80014463,4.61801623
23.85009896,4.62770902
23.90005328,4.63740181
23.95000761,4.64709461
23.99996194,4.65678740
24.04991627,4.66648020
24.09987059,4.67617299
24.14982492,4.68586578
24.19977925,4.69555858
24.25020933,4.70534368
24.30016366,4.71503648
24.35011799,4.72472927
24.40007231,4.73442206
24.45002664,4.74411486
24.49998097,4.75380765
24.54993530,4.76350045
24.59988962,4.77319324
24.64984395,4.78288603
24.69979828,4.79257883
24.75022836,4.80236393
24.80018269,4.81205673
24.85013702,4.82174952
24.90009135,4.83144232
24.95004567,4.84113511
25.00000000,4.85082790
25.04995433,4.86052070
25.09990865,4.87021349
25.14986298,4.87990628
25.19981731,4.88959908
25.24977164,4.89929187
25.30020172,4.90907698
25.35015605,4.91876977
25.40011038,4.92846257
25.45006470,4.93815536
25.50001903,4.94784815
25.54997336,4.95754095
25.59992769,4.96723374
25.64988201,4.97692654
25.69983634,4.98661933
25.74979067,4.99631212
25.80022075,5.00609723
25.85017508,5.01579002
25.90012941,5.02548282
25.95008373,5.03517561
26.00003806,5.04486840
26.04999239,5.05456120
26.09994672,5.06425399
26.14990104,5.07394679
26.19985537,5.08363958
26.24980970,5.09333237
26.29976403,5.10302517
26.35019411,5.11281027
26.40014844,5.12250307
26.45010276,5.13219586
26.50005709,5.14188865
26.55001142,5.15158145
26.59996575,5.16127424
26.64992007,5.17096704
26.69987440,5.18065983
26.74982873,5.19035262
26.79978306,5.20004542
26.85021314,5.20983052
26.90016747,5.21952332
26.95012179,5.22921611
27.00007612,5.23890891
27.05003045,5.24860170
27.09998478,5.25829449
27.14993910,5.26798729
27.19989343,5.27768008
27.24984776,5.28737287
27.29980209,5.29706567
27.35023217,5.30685077
27.40018650,5.31654357
27.45014082,5.32623636
27.50009515,5.33592916
27.55004948,5.34562195
27.60000381,5.35531474
27.64995813,5.36500754
27.69991246,5.37470033
27.74986679,5.38439312
27.79982112,5.39408592
27.84977544,5.40377871
27.90020553,5.41356382
27.95015985,5.42325661
28.00011418,5.43294941
28.05006851,5.44264220
28.10002284,5.45233499
28.14997716,5.46202779
28.19993149,5.47172058
28.24988582,5.48141338
28.29984015,5.49110617
28.34979447,5.50079896
28.40022456,5.51058407
28.45017888,5.52027686
28.50013321,5.52996966
28.55008754,5.53966245
28.60004187,5.54935524
28.64999619,5.55904804
28.69995052,5.56874083
28.74990485,5.57843363
28.79985918,5.58812642
28.84981350,5.59781921
28.89976783,5.60751201
28.95019791,5.61729711
29.00015224,5.62698991
29.05010657,5.63668270
29.10006090,5.64637550
29.15001522,5.65606829
29.19996955,5.66576108
29.24992388,5.67545388
29.29987821,5.68514667
29.34983253,5.69483946
29.39978686,5.70453226
29.45021694,5.71431736
29.50017127,5.72401016
29.55012560,5.73370295
29.60007993,5.74339575
29.65003425,5.75308854
29.69998858,5.76278133
29.74994291,5.77247413
29.79989724,5.78216692
29.84985156,5.79185971
29.89980589,5.80155251
29.95023597,5.81133761
30.00019030,5.82103041
30.05014463,5.83072320
30.10009896,5.84041600
30.15005328,5.85010879
30.20000761,5.85980158
30.24996194,5.86949438
30.29991627,5.87918717
30.34987059,5.88887997
30.39982492,5.89857276
30.44977925,5.90826555
30.50020933,5.91805066
30.55016366,5.92774345
30.60011799,5.93743625
30.65007231,5.94712904
30.70002664,5.95682183
30.74998097,5.96651463
30.79993530,5.97620742
30.84988962,5.98590022
30.89984395,5.99559301
30.94979828,6.00528580
31.00022836,6.01507091
31.05018269,6.02476370
31.10013702,6.03445650
31.15009135,6.04414929
31.20004567,6.05384209
31.25000000,6.06353488
31.29995433,6.07322767
31.34990865,6.08292047
31.39986298,6.09261326
31.44981731,6.10230605
31.49977164,6.11199885
31.55020172,6.12178395
31.60015605,6.13147675
31.65011038,6.14116954
31.70006470,6.15086234
31.75001903,6.16055513
31.79997336,6.17024792
31.84992769,6.17994072
31.89988201,6.18963351
31.94983634,6.19932630
31.99979067,6.20901910
32.05022075,6.21880420
32.10017508,6.22849700
32.15012941,6.23818979
32.20008373,6.24788259
32.25003806,6.25757538
32.29999239,6.26726817
32.34994672,6.27696097
32.39990104,6.28665376
32.44985537,6.29634656
32.49980970,6.30603935
32.54976403,6.31573214
32.60019411,6.32551725
32.65014844,6.33521004
32.70010276,6.34490284
32.75005709,6.35459563
32.80001142,6.36428842
32.84996575,6.37398122
32.89992007,6.38367401
32.94987440,6.39336681
32.99982873,6.40305960
33.04978306,6.41275239
33.10021314,6.42253750
33.15016747,6.43223029
33.20012179,6.44192309
33.25007612,6.45161588
33.30003045,6.46130867
33.34998478,6.47100147
33.39993910,6.48069426
33.44989343,6.49038706
33.49984776,6.50007985
33.54980209,6.50977264
33.60023217,6.51955775
33.65018650,6.52925054
33.70014082,6.53894334
33.75009515,6.54863613
33.80004948,6.55832893
33.85000381,6.56802172
33.89995813,6.57771451
33.94991246,6.58740731
33.99986679,6.59710010
34.04982112,6.60679289
34.09977544,6.61648569
34.15020553,6.62627079
34.20015985,6.63596359
34.25011418,6.64565638
34.30006851,6.65534918
34.35002284,6.66504197
34.39997716,6.67473476
34.44993149,6.68442756
34.49988582,6.69412035
34.54984015,6.70381315
34.59979447,6.71350594
34.65022456,6.72329105
34.70017888,6.73298384
34.75013321,6.74267663
34.80008754,6.75236943
34.85004187,6.76206222
34.89999619,6.77175501
34.94995052,6.78144781
34.99990485,6.79114060
35.04985918,6.80083340
35.09981350,6.81052619
35.14976783,6.82021898
35.20019791,6.83000409
35.25015224,6.83969688
35.30010657,6.84938968
35.35006090,6.85908247
35.40001522,6.86877526
35.44996955,6.87846806
35.49992388,6.88816085
35.54987821,6.89785365
35.59983253,6.90754644
35.64978686,6.91723923
35.70021694,6.92702434
35.75017127,6.93671713
35.80012560,6.94640993
35.85007993,6.95610272
35.90003425,6.96579552
35.94998858,6.97548831
35.99994291,6.98518110
36.04989724,6.99487390
36.09985156,7.00456669
36.14980589,7.01425948
36.20023597,7.02404459
36.25019030,7.03373738
36.30014463,7.04343018
36.35009896,7.05312297
36.40005328,7.06281577
36.45000761,7.07250856
36.49996194,7.08220135
36.54991627,7.09189415
36.59987059,7.10158694
36.64982492,7.11127973
36.69977925,7.12097253
36.75020933,7.13075763
36.80016366,7.14045043
36.85011799,7.15014322
36.90007231,7.15983602
36.95002664,7.16952881
36.99998097,7.17922160
37.04993530,7.18891440
37.09988962,7.19860719
37.14984395,7.20829999
37.19979828,7.21799278
37.25022836,7.22777789
37.30018269,7.23747068
37.35013702,7.24716347
37.40009135,7.25685627
37.45004567,7.26654906
37.50000000,7.27624185
37.54995433,7.28593465
37.59990865,7.29562744
37.64986298,7.30532024
37.69981731,7.31501303
37.74977164,7.32470582
37.80020172,7.33449093
37.85015605,7.34418372
37.90011038,7.35387652
37.95006470,7.36356931
38.00001903,7.37326211
38.04997336,7.38295490
38.09992769,7.39264769
38.14988201,7.40234049
38.19983634,7.41203328
38.24979067,7.42172607
38.30022075,7.43151118
38.35017508,7.44120397
38.40012941,7.45089677
38.45008373,7.46058956
38.50003806,7.47028236
