cumulative_targets_percent,cumulative_assignments_percent
11.54998855,2.95076046
11.59977298,2.96347925
11.65005526,2.97632523
11.69983969,2.98904403
11.75012197,3.00189001
11.79990641,3.01460881
11.85018868,3.02745479
11.89997312,3.04017359
11.94975755,3.05289238
12.00003983,3.06573836
12.04982426,3.07845716
12.10010654,3.09130314
12.14989097,3.10402194
12.20017325,3.11686792
12.24995768,3.12958672
12.30023996,3.14243270
12.35002439,3.15515149
12.39980883,3.16787029
12.45009111,3.18071627
12.49987554,3.19343507
12.55015782,3.20628105
12.59994225,3.21899984
12.65022453,3.23184583
12.70000896,3.24456462
12.74979339,3.25728342
12.80007567,3.27012940
12.84986011,3.28284820
12.90014238,3.29569418
12.94992682,3.30841297
13.00020909,3.32125896
13.04999353,3.33397775
13.09977796,3.34669655
13.15006024,3.35954253
13.19984467,3.37226133
13.25012695,3.38510731
13.29991138,3.39782610
13.35019366,3.41067209
13.39997809,3.42339088
13.44976253,3.43610968
13.50004481,3.44895566
13.54982924,3.46167445
13.60011152,3.47452044
13.64989595,3.48723923
13.70017823,3.50008522
13.74996266,3.51280401
13.80024494,3.52564999
13.85002937,3.53836879
13.89981381,3.55108758
13.95009608,3.56393357
13.99988052,3.57665236
14.05016280,3.58949835
14.09994723,3.60221714
14.15022951,3.61506312
14.20001394,3.62778192
14.24979837,3.64050071
14.30008065,3.65334670
14.34986508,3.66606549
14.40014736,3.67891147
14.44993180,3.69163027
14.50021407,3.70447625
14.54999851,3.71719505
14.59978294,3.72991384
14.65006522,3.74275983
14.69984965,3.75547862
14.75013193,3.76832460
14.79991636,3.78104340
14.85019864,3.79388938
14.89998307,3.80660818
14.94976751,3.81932697
15.00004978,3.83217296
15.04983422,3.84489175
15.10011650,3.85773773
15.14990093,3.87045653
15.20018321,3.88330251
15.24996764,3.89602131
15.29975207,3.90874010
15.35003435,3.92158608
15.39981878,3.93430488
15.45010106,3.94715086
15.49988550,3.95986966
15.55016777,3.97271564
15.59995221,3.98543444
15.65023448,3.99828042
15.70001892,4.01099921
15.74980335,4.02371801
15.80008563,4.03656399
15.84987006,4.04928279
15.90015234,4.06212877
15.94993677,4.07484757
16.00021905,4.08769355
16.05000348,4.10041234
16.09978792,4.11313114
16.15007020,4.12597712
16.19985463,4.13869592
16.25013691,4.15154190
16.29992134,4.16426069
16.35020362,4.17710668
16.39998805,4.18982547
16.44977249,4.20254427
16.50005476,4.21539025
16.54983920,4.22810905
16.60012147,4.24095503
16.64990591,4.25367382
16.70018819,4.26651981
16.74997262,4.27923860
16.79975705,4.29195740
16.85003933,4.30480338
16.89982376,4.31752218
16.95010604,4.33036816
16.99989047,4.34308695
17.05017275,4.35593294
17.09995719,4.36865173
