cumulative_targets_percent,cumulative_assignments_percent
11.55018571,2.68979644
11.60013160,2.70142779
11.65007750,2.71305915
11.70002339,2.72469050
11.74996928,2.73632185
11.79991517,2.74795321
11.84986106,2.75958456
11.89980696,2.77121591
11.95014924,2.78293958
12.00009514,2.79457093
12.05004103,2.80620228
12.09998692,2.81783363
12.14993281,2.82946499
12.19987870,2.84109634
12.24982459,2.85272769
12.30016688,2.86445136
12.35011277,2.87608271
12.40005867,2.88771406
12.45000456,2.89934541
12.49995045,2.91097677
12.54989634,2.92260812
12.59984223,2.93423947
12.65018452,2.94596314
12.70013041,2.95759449
12.75007631,2.96922584
12.80002220,2.98085719
12.84996809,2.99248855
12.89991398,3.00411990
12.94985987,3.01575125
12.99980577,3.02738260
13.05014805,3.03910627
13.10009395,3.05073762
13.15003984,3.06236897
13.19998573,3.07400033
13.24993162,3.08563168
13.29987751,3.09726303
13.34982341,3.10889438
13.40016569,3.12061805
13.45011159,3.13224940
13.50005748,3.14388075
13.55000337,3.15551211
13.59994926,3.16714346
13.64989515,3.17877481
13.69984105,3.19040616
13.75018333,3.20212983
13.80012923,3.21376118
13.85007512,3.22539254
13.90002101,3.23702389
13.94996690,3.24865524
13.99991279,3.26028659
14.04985868,3.27191795
14.09980458,3.28354930
14.15014686,3.29527296
14.20009276,3.30690432
14.25003865,3.31853567
14.29998454,3.33016702
14.34993043,3.34179837
14.39987632,3.35342973
14.44982222,3.36506108
14.50016450,3.37678474
14.55011040,3.38841610
14.60005629,3.40004745
14.65000218,3.41167880
14.69994807,3.42331015
14.74989396,3.43494151
14.79983986,3.44657286
14.85018214,3.45829652
14.90012804,3.46992788
14.95007393,3.48155923
15.00001982,3.49319058
15.04996571,3.50482193
15.09991160,3.51645329
15.14985750,3.52808464
15.19980339,3.53971599
15.25014568,3.55143966
15.30009157,3.56307101
15.35003746,3.57470236
15.39998335,3.58633371
15.44992924,3.59796507
15.49987514,3.60959642
15.54982103,3.62122777
15.60016332,3.63295144
15.65010921,3.64458279
15.70005510,3.65621414
15.75000099,3.66784550
15.79994688,3.67947685
15.84989277,3.69110820
15.89983867,3.70273955
15.95018095,3.71446322
16.00012685,3.72609457
16.05007274,3.73772592
16.10001863,3.74935728
16.14996452,3.76098863
16.19991041,3.77261998
16.24985631,3.78425133
16.29980220,3.79588269
16.35014449,3.80760635
16.40009038,3.81923770
16.45003627,3.83086906
16.49998216,3.84250041
16.54992805,3.85413176
16.59987395,3.86576311
16.64981984,3.87739447
16.70016213,3.88911813
16.75010802,3.90074948
16.80005391,3.91238084
16.84999980,3.92401219
16.89994569,3.93564354
16.94989159,3.94727489
16.99983748,3.95890625
17.05017977,3.97062991
17.10012566,3.98226126
17.15007155,3.99389262
17.20001744,4.00552397
17.24996333,4.01715532
17.29990923,4.02878667
17.34985512,4.04041803
17.40019741,4.05214169
17.45014330,4.06377304
17.50008919,4.07540440
17.55003508,4.08703575
17.59998097,4.09866710
17.64992686,4.11029845
17.69987276,4.12192981
17.74981865,4.13356116
17.80016094,4.14528483
17.85010683,4.15691618
17.90005272,4.16854753
17.94999861,4.18017888
17.99994450,4.19181024
18.04989040,4.20344159
18.09983629,4.21507294
18.15017858,4.22679661
18.20012447,4.23842796
18.25007036,4.25005931
18.30001625,4.26169066
18.34996214,4.27332202
18.39990804,4.28495337
18.44985393,4.29658472
18.50019622,4.30830839
18.55014211,4.31993974
18.60008800,4.33157109
18.65003389,4.34320244
18.69997978,4.35483380
18.74992568,4.36646515
18.79987157,4.37809650
18.84981746,4.38972785
18.90015975,4.40145152
18.95010564,4.41308287
19.00005153,4.42471422
19.04999742,4.43634558
19.09994332,4.44797693
19.14988921,4.45960828
19.19983510,4.47123963
19.25017739,4.48296330
19.30012328,4.49459465
19.35006917,4.50622600
19.40001506,4.51785736
19.44996095,4.52948871
19.49990685,4.54112006
19.54985274,4.55275141
19.60019503,4.56447508
19.65014092,4.57610643
19.70008681,4.58773779
19.75003270,4.59936914
19.79997859,4.61100049
19.84992449,4.62263184
19.89987038,4.63426320
19.94981627,4.64589455
20.00015856,4.65761821
20.05010445,4.66924957
20.10005034,4.68088092
20.14999623,4.69251227
20.19994213,4.70414362
20.24988802,4.71577498
20.29983391,4.72740633
20.35017620,4.73912999
20.40012209,4.75076135
20.45006798,4.76239270
20.50001387,4.77402405
20.54995977,4.78565540
20.59990566,4.79728676
20.64985155,4.80891811
20.70019384,4.82064177
20.75013973,4.83227313
20.80008562,4.84390448
20.85003151,4.85553583
20.89997741,4.86716718
20.94992330,4.87879854
20.99986919,4.89042989
21.04981508,4.90206124
21.10015737,4.91378491
21.15010326,4.92541626
21.20004915,4.93704761
21.24999505,4.94867896
21.29994094,4.96031032
21.34988683,4.97194167
21.39983272,4.98357302
21.45017501,4.99529669
21.50012090,5.00692804
21.55006679,5.01855939
21.60001268,5.03019074
21.64995858,5.04182210
21.69990447,5.05345345
21.74985036,5.06508480
21.80019265,5.07680847
21.85013854,5.08843982
21.90008443,5.10007117
21.95003032,5.11170253
21.99997622,5.12333388
22.04992211,5.13496523
22.09986800,5.14659658
22.14981389,5.15822794
22.20015618,5.16995160
22.25010207,5.18158295
22.30004796,5.19321431
22.34999386,5.20484566
22.39993975,5.21647701
22.44988564,5.22810836
22.49983153,5.23973972
22.55017382,5.25146338
22.60011971,5.26309473
22.65006560,5.27472609
22.70001150,5.28635744
22.74995739,5.29798879
22.79990328,5.30962014
22.84984917,5.32125150
22.90019146,5.33297516
22.95013735,5.34460651
23.00008324,5.35623787
23.05002914,5.36786922
23.09997503,5.37950057
23.14992092,5.39113192
23.19986681,5.40276328
23.24981270,5.41439463
23.30015499,5.42611829
23.35010088,5.43774965
23.40004677,5.44938100
23.44999267,5.46101235
23.49993856,5.47264370
23.54988445,5.48427506
23.59983034,5.49590641
23.65017263,5.50763007
23.70011852,5.51926143
23.75006441,5.53089278
23.80001031,5.54252413
23.84995620,5.55415549
23.89990209,5.56578684
23.94984798,5.57741819
24.00019027,5.58914186
24.05013616,5.60077321
24.10008205,5.61240456
24.15002795,5.62403591
24.19997384,5.63566727
24.24991973,5.64729862
24.29986562,5.65892997
24.34981151,5.67056132
24.40015380,5.68228499
24.45009969,5.69391634
